date,campaign_name,clicks,impressions,spend,sales,conversions,acos,roas,ctr,cpc
2026-05-01,Brand Campaign,450,8500,225.00,1875.00,45,12.0,8.33,5.29,0.50
2026-05-01,Category Campaign,280,7200,168.00,1050.00,21,16.0,6.25,3.89,0.60
2026-05-01,Product Targeting,320,5600,192.00,960.00,19,20.0,5.00,5.71,0.60
2026-05-02,Brand Campaign,460,8700,230.00,1920.00,48,12.0,8.35,5.29,0.50
2026-05-02,Category Campaign,290,7500,174.00,1088.00,22,16.0,6.25,3.87,0.60
2026-05-02,Product Targeting,310,5400,186.00,930.00,18,20.0,5.00,5.74,0.60
2026-05-03,Brand Campaign,440,8300,220.00,1800.00,43,12.2,8.18,5.30,0.50
2026-05-03,Category Campaign,275,7000,165.00,1000.00,20,16.5,6.06,3.93,0.60
2026-05-03,Product Targeting,330,5800,198.00,1000.00,20,19.8,5.05,5.69,0.60
2026-05-04,Brand Campaign,470,8900,235.00,1960.00,49,12.0,8.34,5.28,0.50
2026-05-04,Category Campaign,300,7800,180.00,1120.00,22,16.1,6.22,3.85,0.60
2026-05-04,Product Targeting,340,5900,204.00,1020.00,20,20.0,5.00,5.76,0.60
